Name;Genre;Type
Stranger Things;Science Fiction;TV Show
The Crown;Historical;TV Show
Brooklyn Nine-Nine;Comedy;TV Show
Game of Thrones;Fantasy;TV Show
Inception;Science Fiction;Film
Pulp Fiction;Crime;Film
Jurassic Park;Science Fiction;Film
The Dark Knight;Superhero;Film
Breaking Bad;Crime;TV Show
Friends;Comedy;TV Show
The Office;Comedy;TV Show
Forrest Gump;Drama;Film
Cunk on Earth;Comedy;TV Show
Bridgerton;Drama;TV Show
Queen Charlotte;Drama;TV Show
Better Call Saul;Crime;TV Show
Fight Club;Crime;Film
Taxi Driver;Drama;Film
Oppenheimer;Historial;Film
Orange is the new Black;Crime;TV Show
Bojack Horseman;Drama;TV Show

